,Project Developer,Project Type,Project Name,Credit Status,Estimated Annual Emission Reductions,Country
7491,myclimate Foundation,Solar Thermal - Electricity,Solar Lighting in Rural Ethiopia - VPA 1,Issued,8024,Ethiopia
7492,myclimate Foundation,Solar Thermal - Electricity,Solar Lighting in Rural Ethiopia - VPA 1,Issued,8024,Ethiopia
7493,myclimate Foundation,Solar Thermal - Electricity,Solar Lighting in Rural Ethiopia - VPA 1,Issued,7109,Ethiopia
7494,myclimate Foundation,Solar Thermal - Electricity,Solar Lighting in Rural Ethiopia - VPA 1,Issued,5835,Ethiopia
7495,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 90 Southern Ethiopia Efficient Cook Stoves,Issued,4904,Ethiopia
7496,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 90 Southern Ethiopia Efficient Cook Stoves,Issued,5096,Ethiopia
7497,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 89 Southern Ethiopia Efficient Cook Stoves,Issued,4904,Ethiopia
7498,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 89 Southern Ethiopia Efficient Cook Stoves,Issued,5096,Ethiopia
7499,Relief International,Energy Efficiency - Domestic,Gyapa Cook Stoves Project in Ghana,Issued,77040,Ghana
7500,Believe Green LLC,Energy Efficiency - Domestic,VPA - Spouts - 3,Issued,6616,Uganda
7501,Believe Green LLC,Energy Efficiency - Domestic,VPA - Spouts - 3,Issued,9235,Uganda
7502,Believe Green LLC,Energy Efficiency - Domestic,VPA - Spouts - 3,Issued,2071,Uganda
7503,Believe Green LLC,Energy Efficiency - Domestic,VPA - Spouts - 2,Issued,6767,Uganda
7504,Believe Green LLC,Energy Efficiency - Domestic,VPA - Spouts - 2,Issued,9728,Uganda
7505,Believe Green LLC,Energy Efficiency - Domestic,VPA - Spouts - 2,Issued,2119,Uganda
7506,Believe Green LLC,Energy Efficiency - Domestic,VPA - Spouts - 1,Issued,5501,Uganda
7507,Believe Green LLC,Energy Efficiency - Domestic,VPA - Spouts - 1,Issued,9851,Uganda
7508,Believe Green LLC,Energy Efficiency - Domestic,VPA - Spouts - 1,Issued,2193,Uganda
7509,Soneva Foundation,Energy Efficiency - Domestic,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 012,Issued,6331,Myanmar
7510,Soneva Foundation,Energy Efficiency - Domestic,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 012,Issued,1266,Myanmar
7511,Soneva Foundation,Energy Efficiency - Domestic,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 008,Issued,6616,Myanmar
7512,Soneva Foundation,Energy Efficiency - Domestic,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 008,Issued,601,Myanmar
7513,Value Network Venture Advisory Services Pte. Ltd.,Energy Efficiency - Domestic,Promoting Clean Cooking Solutions for the Disadvantaged Households in Nepal,Issued,11718,Nepal
7514,Value Network Venture Advisory Services Pte. Ltd.,Energy Efficiency - Domestic,Promoting Clean Cooking Solutions for the Disadvantaged Households in Nepal,Issued,8459,Nepal
7515,atmosfair gGmbH,Solar Thermal - Electricity,India One Solar Thermal Power Project,Issued,690,India
7516,atmosfair gGmbH,Solar Thermal - Electricity,India One Solar Thermal Power Project,Issued,350,India
7517,Pacific Engineering Services Limited,Energy Efficiency - Domestic,Energy efficiency improvement project leading to multiple sustainable development impacts.,Issued,21208,Uganda
7518,Pacific Engineering Services Limited,Energy Efficiency - Domestic,Energy efficiency improvement project leading to multiple sustainable development impacts.,Issued,5215,Uganda
7519,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,14152,Panama
7520,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,483,Panama
7521,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,1755,Panama
7522,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,67231,Panama
7523,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,8826,Panama
7524,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,6478,Panama
7525,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,66389,Panama
7526,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,4006,Panama
7527,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,1571,Panama
7528,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,67928,Panama
7529,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,49274,Panama
7530,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,43206,Panama
7531,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,461,Panama
7532,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,3330,Panama
7533,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,960,Panama
7534,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,57431,Panama
7535,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,2093,Panama
7536,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,11111,Panama
7537,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,40723,Panama
7538,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,68087,Panama
7539,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,2149,Panama
7540,ForestFinance GSF,A/R,CO2OL Tropical Mix ,Issued,3594,Panama
7541,The Biogas Project Management Unit,Biogas - Heat,Biogas Program for the Animal Husbandry Sector of Vietnam,Issued,242936,Viet Nam
7542,The Biogas Project Management Unit,Biogas - Heat,Biogas Program for the Animal Husbandry Sector of Vietnam,Issued,466256,Viet Nam
7543,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 126 Zoba Anseba Community Safe Water,Issued,8954,Eritrea
7544,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 126 Zoba Anseba Community Safe Water,Issued,801,Eritrea
7545,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 125 Zoba Anseba Community Safe Water,Issued,9027,Eritrea
7546,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 125 Zoba Anseba Community Safe Water,Issued,806,Eritrea
7547,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 124 Zoba Anseba Community Safe Water,Issued,8777,Eritrea
7548,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 124 Zoba Anseba Community Safe Water,Issued,784,Eritrea
7549,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 123 Zoba Anseba Community Safe Water,Issued,9034,Eritrea
7550,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 123 Zoba Anseba Community Safe Water,Issued,808,Eritrea
7551,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 122 Zoba Anseba Community Safe Water,Issued,8882,Eritrea
7552,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 122 Zoba Anseba Community Safe Water,Issued,793,Eritrea
7553,myclimate Foundation,Solar Thermal - Heat,ADES Solar and efficient stoves in Madagascar,Issued,312511,Madagascar
7554,South Pole Carbon Asset Management Ltd.,Energy Efficiency - Domestic,GS4503 - Sustainable Safe Water Program-Tulip Filters in Tanzania VPA 1,Issued,5188,Tanzania United Republic of
7555,Forest Finest Colombia,A/R,Vichada Climate Reforestation Project (PAZ) ,Issued,242558,Colombia
7556,Forest Finest Colombia,A/R,Vichada Climate Reforestation Project (PAZ) ,Issued,180962,Colombia
7557,Forest Finest Colombia,A/R,Vichada Climate Reforestation Project (PAZ) ,Issued,86811,Colombia
7558,Envirofit International Ltd.,Energy Efficiency - Domestic,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 12 Envirofit,Issued,22015,India
7559,Envirofit International Ltd.,Energy Efficiency - Domestic,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 12 Envirofit,Issued,3868,India
7560,ClimatePartner Impact GmbH,Energy Efficiency - Domestic,Household biogas project in Uttarakhand and Kerala India,Issued,17841,India
7561,ClimatePartner Impact GmbH,Energy Efficiency - Domestic,Household biogas project in Uttarakhand and Kerala India,Issued,54268,India
7562,ClimatePartner Impact GmbH,Energy Efficiency - Domestic,Household biogas project in Uttarakhand and Kerala India,Issued,9069,India
7563,Envirofit International Ltd.,Energy Efficiency - Domestic,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 13 Envirofit,Issued,24623,India
7564,Envirofit International Ltd.,Energy Efficiency - Domestic,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 13 Envirofit,Issued,33410,India
7565,Envirofit International Ltd.,Energy Efficiency - Domestic,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 12 Envirofit,Issued,23074,India
7566,Envirofit International Ltd.,Energy Efficiency - Domestic,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 12 Envirofit,Issued,34946,India
7567,Envirofit International Ltd.,Energy Efficiency - Domestic,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 12 Envirofit,Issued,11872,India
7568,Soma Enerji Elektrik Uretim AS,Wind,Soma III Wind Farm,Issued,88508,Turkey
7569,Soma Enerji Elektrik Uretim AS,Wind,Soma III Wind Farm,Issued,171895,Turkey
7570,Soma Enerji Elektrik Uretim AS,Wind,Soma III Wind Farm,Issued,104499,Turkey
7571,Instituto Perene,Energy Efficiency - Domestic,Efficient Cookstoves in Bahia II - Santo Amaro,Issued,5921,Brazil
7572,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 15 Kilifi Borehole Rehabilitation Project ,Issued,7616,Kenya
7573,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 14 Kilifi Borehole Rehabilitation Project ,Issued,7589,Kenya
7574,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 13 Kilifi Borehole Rehabilitation Project ,Issued,7671,Kenya
7575,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 12 Kilifi Borehole Rehabilitation Project ,Issued,7699,Kenya
7576,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 11 Kilifi Borehole Rehabilitation Project ,Issued,9616,Kenya
7577,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 10 Kilifi Borehole Rehabilitation Project ,Issued,9534,Kenya
7578,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 9 Kilifi Borehole Rehabilitation Project,Issued,10000,Kenya
7579,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 9 Kilifi Borehole Rehabilitation Project,Issued,395,Kenya
7580,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 8 Kilifi Borehole Rehabilitation Project,Issued,10000,Kenya
7581,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 8 Kilifi Borehole Rehabilitation Project,Issued,623,Kenya
7582,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 7 Kilifi Borehole Rehabilitation Project,Issued,10000,Kenya
7583,CO2balance UK ltd,Energy Efficiency - Domestic,GS1366 VPA 7 Kilifi Borehole Rehabilitation Project,Issued,1055,Kenya
7584,CO2balance UK ltd,Energy Efficiency - Domestic,VPA 6 Kilifi Borehole Rehabilitation Project,Issued,10000,Kenya
7585,CO2balance UK ltd,Energy Efficiency - Domestic,VPA 6 Kilifi Borehole Rehabilitation Project,Issued,535,Kenya
7586,Fiba Yenilenebilir Enerji Holding A.Ş,Wind,ULUBORLU WPP,Issued,93492,Turkey
7587,Fiba Yenilenebilir Enerji Holding A.Ş,Wind,ULUBORLU WPP,Issued,96495,Turkey
7588,Fiba Yenilenebilir Enerji Holding A.Ş,Wind,ULUBORLU WPP,Issued,42153,Turkey
7589,Mobisol,Solar Thermal - Electricity,GS2527 - Mobisol Solar Home Systems in Tanzania – VPA 1,Issued,3167,Tanzania United Republic of
7590,Mobisol,Solar Thermal - Electricity,GS2527 - Mobisol Solar Home Systems in Tanzania – VPA 1,Issued,10000,Tanzania United Republic of
7591,Mobisol,Solar Thermal - Electricity,GS2527 - Mobisol Solar Home Systems in Tanzania – VPA 1,Issued,6833,Tanzania United Republic of
7592,İCDAS CELİK ENERJİ TERSANE VE ULASIM SANAYİ ANONİM SİRKETİ,Wind,Icdas Biga Wind Farm Project,Issued,65926,Turkey
7593,İCDAS CELİK ENERJİ TERSANE VE ULASIM SANAYİ ANONİM SİRKETİ,Wind,Icdas Biga Wind Farm Project,Issued,6057,Turkey
7594,South Pole Carbon Asset Management Ltd.,Biogas - Cogeneration,Poultry Litter Based Power Project in Ranga Reddy District Andhra Pradesh,Issued,77448,India
7595,South Pole Carbon Asset Management Ltd.,Biogas - Cogeneration,Poultry Litter Based Power Project in Ranga Reddy District Andhra Pradesh,Issued,64379,India
7596,Value Network Venture Advisory Services Pte. Ltd.,Biogas - Heat,Household Biogas plants installed in rural areas of Uttar Pradesh & Gujarat,Issued,11918,India
7597,Value Network Venture Advisory Services Pte. Ltd.,Biogas - Heat,Household Biogas plants installed in rural areas of Uttar Pradesh & Gujarat,Issued,7731,India
7598,World Vision Australia,A/R,Humbo Ethiopia Assisted Natural Regeneration Project ,Issued,24994,Ethiopia
7599,World Vision Australia,A/R,Humbo Ethiopia Assisted Natural Regeneration Project ,Issued,26636,Ethiopia
7600,World Vision Australia,A/R,Humbo Ethiopia Assisted Natural Regeneration Project ,Issued,7491,Ethiopia
7601,World Vision Australia,A/R,Humbo Ethiopia Assisted Natural Regeneration Project ,Issued,7491,Ethiopia
7602,World Vision Australia,A/R,Humbo Ethiopia Assisted Natural Regeneration Project ,Issued,7491,Ethiopia
7603,World Vision Australia,A/R,Humbo Ethiopia Assisted Natural Regeneration Project ,Issued,7491,Ethiopia
7604,World Vision Australia,A/R,Humbo Ethiopia Assisted Natural Regeneration Project ,Issued,7491,Ethiopia
7605,World Vision Australia,A/R,Humbo Ethiopia Assisted Natural Regeneration Project ,Issued,7491,Ethiopia
7606,World Vision Australia,A/R,Humbo Ethiopia Assisted Natural Regeneration Project ,Issued,7491,Ethiopia
7607,Nile Fibreboard Ltd.,A/R,Kikonda Forest Reserve ,Issued,32935,Uganda
7608,Nile Fibreboard Ltd.,A/R,Kikonda Forest Reserve ,Issued,42492,Uganda
7609,Nile Fibreboard Ltd.,A/R,Kikonda Forest Reserve ,Issued,33571,Uganda
7610,Nile Fibreboard Ltd.,A/R,Kikonda Forest Reserve ,Issued,43303,Uganda
7611,Nile Fibreboard Ltd.,A/R,Kikonda Forest Reserve ,Issued,20502,Uganda
7612,Relief International,Energy Efficiency - Domestic,Gyapa Cook Stoves Project in Ghana,Issued,85000,Ghana
7613,myclimate Foundation,Energy Efficiency - Domestic,Energy Efficient Cook Stoves for Siaya Communities Kenya,Issued,130673,Kenya
7614,MyPlanet,Other,Composting of municipal organic waste in Lome ,Issued,738,Togo
7615,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA25 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project V,Issued,8301,Rwanda
7616,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA24 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project IV,Issued,8301,Rwanda
7617,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA23 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project III,Issued,8301,Rwanda
7618,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA22 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project II,Issued,8301,Rwanda
7619,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA21 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project I,Issued,8301,Rwanda
7620,Fortum India Private Limited,Solar Thermal - Electricity,70 MW Bhadla Solar power plant by Fortum Finnsurya Energy Pvt Ltd (EKIESL-CDM-APRIL 16-01),Issued,34889,India
7621,Fortum India Private Limited,Solar Thermal - Electricity,70 MW Bhadla Solar power plant by Fortum Finnsurya Energy Pvt Ltd (EKIESL-CDM-APRIL 16-01),Issued,147073,India
7622,Fortum India Private Limited,Solar Thermal - Electricity,70 MW Bhadla Solar power plant by Fortum Finnsurya Energy Pvt Ltd (EKIESL-CDM-APRIL 16-01),Issued,15321,India
7623,Janara Samuha Mutual Benefit Trust (JSMBT),Energy Efficiency - Domestic,Improved Cook Stoves CDM project of JSMBT,Issued,930,India
7624,Janara Samuha Mutual Benefit Trust (JSMBT),Energy Efficiency - Domestic,Improved Cook Stoves CDM project of JSMBT,Issued,24180,India
7625,Janara Samuha Mutual Benefit Trust (JSMBT),Energy Efficiency - Domestic,Improved Cook Stoves CDM project of JSMBT,Issued,30121,India
7626,Janara Samuha Mutual Benefit Trust (JSMBT),Energy Efficiency - Domestic,Improved Cook Stoves CDM project of JSMBT,Issued,8940,India
7627,Orb Energy Private Limited,Solar Thermal - Electricity,Orb Energy Solar Program in India - VPA03,Issued,8058,India
7628,Orb Energy Private Limited,Solar Thermal - Electricity,Orb Energy Solar Program in India - VPA03,Issued,8193,India
7629,Orb Energy Private Limited,Solar Thermal - Electricity,Orb Energy Solar Program in India - VPA02,Issued,9273,India
7630,Orb Energy Private Limited,Solar Thermal - Electricity,Orb Energy Solar Program in India - VPA02,Issued,9427,India
7631,Orb Energy Private Limited,Solar Thermal - Electricity,Orb Energy Solar Program In India - VPA01,Issued,9167,India
7632,Orb Energy Private Limited,Solar Thermal - Electricity,Orb Energy Solar Program In India - VPA01,Issued,9319,India
7633,Chengdu Oasis Science & Technology Co Ltd,"Biomass, or Liquid Biofuel - Heat",Sichuan Rural Poor-Household Biogas Development Programme CPA Nb. SCHHBG-2010-01,Issued,2100,China
7634,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-087,Issued,9482,China
7635,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-086,Issued,9326,China
7636,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-085,Issued,9248,China
7637,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-084,Issued,9557,China
7638,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-083,Issued,9270,China
7639,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-082,Issued,8380,China
7640,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-081,Issued,9248,China
7641,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-080,Issued,9248,China
7642,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-079,Issued,9248,China
7643,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-078,Issued,9248,China
7644,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-077,Issued,9248,China
7645,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-076,Issued,9624,China
7646,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-075,Issued,9248,China
7647,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-074,Issued,9624,China
7648,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-073,Issued,6855,China
7649,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-072,Issued,9421,China
7650,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-071,Issued,9262,China
7651,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-070,Issued,9248,China
7652,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-069,Issued,9248,China
7653,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-068,Issued,9236,China
7654,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-067,Issued,9248,China
7655,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-066,Issued,9624,China
7656,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-065,Issued,9624,China
7657,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-064,Issued,9248,China
7658,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-063,Issued,9248,China
7659,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-062,Issued,9248,China
7660,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-061,Issued,9248,China
7661,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-060,Issued,9248,China
7662,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-059,Issued,9248,China
7663,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-058,Issued,9248,China
7664,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-057,Issued,9248,China
7665,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-056,Issued,9248,China
7666,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-055,Issued,9248,China
7667,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-054,Issued,9248,China
7668,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-053,Issued,9402,China
7669,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-052,Issued,8159,China
7670,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-051,Issued,9248,China
7671,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-050,Issued,9248,China
7672,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-049,Issued,9624,China
7673,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-048,Issued,9624,China
7674,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-047,Issued,9624,China
7675,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-046,Issued,9248,China
7676,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-045,Issued,9248,China
7677,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-044,Issued,9248,China
7678,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-043,Issued,9248,China
7679,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-042,Issued,9248,China
7680,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-041,Issued,9248,China
7681,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-040,Issued,9248,China
7682,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-039,Issued,9248,China
7683,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-038,Issued,9248,China
7684,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-037,Issued,9248,China
7685,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-036,Issued,9248,China
7686,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-035,Issued,9624,China
7687,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-034,Issued,9248,China
